ticker,industry,slope,downside_sd,growth_metric,reward,pe_ratio,peg_ratio,mean3_adj_ret,sector,market_cap_category,industry_median_pe
SATS,Telecommunications Equipment,0.09480098013281005,0.0705363977931341,1.344000871873809,3970.937247382759,,,0.030810356870361093,Consumer Discretionary,large,8.44
KTOS,Military/Government/Technical,0.09556170457287012,0.09975957735312503,0.9579201025943059,3449.2898259136605,,,0.03227593224625743,Industrials,large,46.26
RKLB,Military/Government/Technical,0.19532073169545994,0.21467083576614163,0.9098615142498382,2125.5067070924993,,,0.02793490118498657,Industrials,large,46.26
COOP,Finance: Consumer Services,0.027286600889201908,0.03807069808571315,0.7167349762740965,8105.290071030389,23.63,32.96895056362273,0.040738865705014164,Finance,large,13.83
IREN,EDP Services,0.26953758308656556,0.4088581675254535,0.6592447075666783,1222.7624247707329,153.26,232.4781651500763,0.049511731705512305,Technology,large,24.29
ASTS,Telecommunications Equipment,0.1265865254043068,0.2237079142374274,0.5658562676953709,2100.299685869033,,,0.032023517771597614,Consumer Discretionary,large,8.44
WDC,Electronic Components,0.0539914147526508,0.09948729138573105,0.5426965997427337,2481.6515398199117,25.88,47.68778726873996,0.029465371248013163,Technology,large,31.67
LITE,Telecommunications Equipment,0.0633355653526748,0.12401062571221769,0.510726923510998,1425.0469168121047,,,0.017136096235099454,Telecommunications,large,8.44
SOFI,Finance: Consumer Services,0.08065937910726508,0.17525725622849903,0.4602341771350227,1243.7076988855044,52.37,113.78989784288832,0.015025288526354177,Finance,large,13.83
XEL,Power Generation,0.018742346150926837,0.043119104129436085,0.43466455366664297,1569.18186565195,22.42,51.58000534176191,0.006635864939380115,Utilities,large,20.91
ESLT,Military/Government/Technical,0.025740297497679566,0.062072444948853944,0.41468154700348747,3462.011926691661,56.83,137.04492136353022,0.024857178795945307,Industrials,large,46.26
INCY,Biotechnology: Commercial Physical & Biological Resarch,0.028118650578182008,0.07135965926009198,0.3940412674294735,527.8715708267588,19.81,50.27392214330862,0.0008874523341671813,Health Care,large,19.81
STX,Electronic Components,0.03958753613981068,0.10079363900964484,0.392758278486429,2460.202839018059,31.67,80.63483759539469,0.03258112841723302,Technology,large,31.67
DASH,EDP Services,0.054283703410402964,0.144406211082709,0.3759097548741296,1203.7302307640755,146.97,390.9714980639748,0.011763025468466278,Technology,large,24.29
EVRG,Power Generation,0.011409303042549335,0.03349083564601892,0.3406694047034197,2599.0402171313335,21.28,62.46525137332471,0.011135949589635588,Utilities,large,20.91
LNT,Power Generation,0.009454091801346357,0.03008686166795431,0.3142265852013394,2165.0753103494008,20.91,66.54433770014082,0.00742682507777553,Utilities,large,20.91
PEGA,EDP Services,0.04863115651398037,0.15800408065130145,0.30778418072191605,490.938827444654,44.4,144.25692670707966,-0.0020670444014423773,Technology,large,24.29
RGLD,Precious Metals,0.021455364767247954,0.06987972720657902,0.3070327493383228,1503.557686537421,28.47,92.72626474327203,0.0130987749950592,Industrials,large,28.619999999999997
AFRM,Finance: Consumer Services,0.07279908727301679,0.273529110213277,0.2661474941963349,447.246735475858,,,0.0012239790423017663,Finance,large,13.83
COIN,Finance: Consumer Services,0.07864517773562879,0.3051136107618455,0.2577570287318804,575.0582961027034,34.36,133.303833338882,0.004267889675758665,Finance,large,13.83
CSCO,Computer Communications Equipment,0.003463927438213607,0.05259411988232595,0.06586149641754241,1607.7091400458394,26.64,404.48519163777087,0.011225693396253738,Telecommunications,mega,27.935000000000002
ASML,Industrial Machinery/Components,-0.004778582636851908,0.10849972471536697,-0.044042348027958735,893.8287927842356,33.45,-759.4962915865759,0.02084747898588923,Technology,mega,31.66
TMUS,Telecommunications Equipment,-0.00241111266089283,0.04428223882885279,-0.0544487524718789,1960.051060142573,21.6,-396.70330392153124,0.011590406855678815,Telecommunications,mega,8.44
VELO,Industrial Machinery/Components,0.09956178338918169,0.004742629009292569,20.992952051299653,38537.95514693649,0.011,0.0005239853820043856,0.004025654072668166,Technology,micro,31.66
NVX,Industrial Machinery/Components,0.24608212269899332,0.27344092767414707,0.8999461960290137,-269.1457405909243,,,-0.04005699691453205,Miscellaneous,micro,31.66
OCC,Telecommunications Equipment,0.08650927961151861,0.11268674106314508,0.7676970581928739,2301.165150694744,,,0.027953792668790906,Industrials,micro,8.44
HYMC,Precious Metals,0.17219525323705281,0.2915396346393052,0.5906409721960925,-39.43819110617732,,,-0.03180755791776201,Basic Materials,micro,28.619999999999997
RFIL,Electrical Products,0.04647120417988647,0.08643472704099542,0.5376450620113081,1535.9242139732335,,,0.009757166720500882,Technology,micro,24.93
VHC,Multi-Sector Companies,0.09618208056445783,0.18466219568984493,0.5208542019396509,271.16274568332636,,,-0.011522208763540981,Miscellaneous,micro,24.16
ARBE,EDP Services,0.11105049071961984,0.2262258999107325,0.4908831869535705,-480.25985151934026,,,-0.02585179884026643,Technology,micro,24.29
SNT,Telecommunications Equipment,0.050273353821122344,0.10671786310302105,0.4710865862502373,1661.6650132921916,21.32,45.257072950650716,0.01489418721585181,Telecommunications,micro,8.44
RYM,Farming/Seeds/Milling,0.3307381251151397,0.7392150960495106,0.44741798007462197,-616.252258817908,,,-0.11156145256504611,Consumer Staples,micro,3.631
MIND,Industrial Machinery/Components,0.07241518054524915,0.17266212817034915,0.4194039614396739,168.46123300060654,2.119,5.052408166880875,-0.014706265594681123,Industrials,micro,31.66
SSSS,Finance: Consumer Services,0.05107480399051775,0.1371253492213375,0.37246799574655315,961.9007632832879,4.69,12.591685872499294,0.008864012586295641,Finance,micro,13.83
